ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
E10,250.1,249-250.99,DIABETES
E10.0,250.1,249-250.99,DIABETES
E10.1,250.11,249-250.99,DIABETES
E10.2,250.12,249-250.99,DIABETES
E10.3,250.23,249-250.99,DIABETES
E10.3,250.7,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye
E10.3,250.13,249-250.99,DIABETES
E10.4,250.14,249-250.99,DIABETES
E10.4,250.24,249-250.99,DIABETES
E10.5,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E10.5,,,
E10.6,250.1,249-250.99,DIABETES
E10.7,250.1,249-250.99,DIABETES
E10.8,250.1,249-250.99,DIABETES
E10.9,250.1,249-250.99,DIABETES
E11,250.2,249-250.99,DIABETES
E11.0,250.2,249-250.99,DIABETES
E11.1,250.21,249-250.99,DIABETES
E11.2,250.22,249-250.99,DIABETES
E11.3,250.23,249-250.99,DIABETES
E11.4,250.24,249-250.99,DIABETES
E11.5,,,
E11.5,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E11.6,250.2,249-250.99,DIABETES
E11.7,250.2,249-250.99,DIABETES
E11.8,250.2,249-250.99,DIABETES
E11.9,250.2,249-250.99,DIABETES
E12.1,260.2,260-264.99,Nutritional deficiencies
E12.1,249,249-250.99,DIABETES
E12.2,260.2,260-264.99,Nutritional deficiencies
E12.2,249,249-250.99,DIABETES
E12.3,250.23,249-250.99,DIABETES
E12.5,249,249-250.99,DIABETES
E12.5,260.2,260-264.99,Nutritional deficiencies
E12.7,260.2,260-264.99,Nutritional deficiencies
E12.7,249,249-250.99,DIABETES
E12.8,249,249-250.99,DIABETES
E12.9,249,249-250.99,DIABETES
E13,250.2,249-250.99,DIABETES
E13.1,,,
E13.1,250.21,249-250.99,DIABETES
E13.3,250.7,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye
E13.4,250.24,249-250.99,DIABETES
E13.5,250.2,249-250.99,DIABETES
E13.6,250.2,249-250.99,DIABETES
E13.7,250.2,249-250.99,DIABETES
E13.8,250.2,249-250.99,DIABETES
E13.9,250.2,249-250.99,DIABETES
E14,,,
E14.0,,,
E14.1,,,
E14.2,,,
E14.3,,,
E14.4,,,
E14.5,,,
E14.5,443.7,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
E14.6,,,
E14.7,,,
E14.8,,,
E14.9,250.2,249-250.99,DIABETES
E14.9,,,
H02.8,374,369-374.99,infection/inflammation of eye
I10,401.1,401-405.99,HYPERTENSIVE DISEASE
L72.1,706.2,705-706.99,disorders of sweat and sebaceous glands
L72.1,704,703-704.99,Diseases of hair and nails
M90.0,10,010-041.99,bacterial infection
N50.8,608,600-609.99,male genital disorders
N60.8,610.8,610-613.99,nonmalignant breast conditions
N94.8,625,624-625.99,symptoms involving female genital tract
O24.9,649.1,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
P70.0,656.3,656-656.99,Other and unspecified perinatal conditions
P70.1,656.3,656-656.99,Other and unspecified perinatal conditions
P70.2,656.3,656-656.99,Other and unspecified perinatal conditions
